date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:15	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-regular-400.eot	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-regular-400.eot	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:15	751262/751262	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Jul%202023%2017:34:24%20GMT	https://dashlite.net/demo6/assets/fonts/fa-brands-400.svg	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-brands-400.svg	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:15	13548/13548	---M--	200	added ('OK')	font/woff2	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-regular-400.woff2	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-regular-400.woff2	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:15	16772/16772	---M--	200	added ('OK')	font/woff	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-regular-400.woff	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-regular-400.woff	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:16	34052/34052	---M--	200	added ('OK')	font/ttf	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-regular-400.ttf	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-regular-400.ttf	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:16	145515/145515	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-regular-400.svg	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-regular-400.svg	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:16	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-solid-900.eot	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-solid-900.eot	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:16	80300/80300	---M--	200	added ('OK')	font/woff2	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-solid-900.woff2	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-solid-900.woff2	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:17	104280/104280	---M--	200	added ('OK')	font/woff	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-solid-900.woff	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-solid-900.woff	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
13:17:17	204528/204528	---M--	200	added ('OK')	font/ttf	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/assets/fonts/fa-solid-900.ttf	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/fonts/fa-solid-900.ttf	(from https://dashlite.net/demo6/assets/css/libs/fontawesome-icons.css?ver=3.2.1)
